CountryA2,Denomination,Format,Regex,FixedCode,,
AD,Código postal,AA999,^(?:AD)*(\d{3})$,0,,
AE,,-,,0,,
AF,Post code,9999,^(\d{4})$,0,,
AG,Post code,99999,^(\d{5})$,0,,
AI,Post code,AA-9999,^(AI-2640)$,1,,
AL,Kodi postar,9999,^(\d{4})$,0,,
AM,Postal index,9999,^(\d{4})$,0,,
AN,,-,,0,,
AO,,-,,0,,
AQ,Postcode,9999,^(7151)$,1,,
AR,CPA,A9999AAA,^([A-Z]\d{4}[A-Z]{3})|([A-Z]\d{4})$,0,,
AS,Zip Code (US),99999,^(\d{5})$,0,,
AT,PLZ,9999,^(\d{4})$,0,,
AU,Postcode,9999,^(\d{4})$,0,,
AW,postcode (NL),9999 AA,^(0000 AW)$,1,,
AX,Postcode,99999,^(\d{5})$,0,,
AZ,İndeks,AA 9999,^(AZ) (\d{4})$,0,,
BA,Poštanski broj,99999,^(\d{5})$,0,,
BB,Postal code,AA99999,^(?:BB)*(\d{5})$,0,,
BD,Post code,9999,^(\d{4})$,0,,
BE,Code postal,9999,^(\d{4})$,0,,
BF,,-,,0,,
BG,Пощенски код,9999,^(\d{4})$,0,,
BH,Post code,9999,^(\d{3}\d?)$,0,,
BI,,-,,0,,
BJ,,-,,0,,
BL,Code postal (FR),99999,^(\d{5})$,0,,
BM,Post codes,AA 99,^([A-Z]{2} \d{2})$,0,,
BN,Kod,AA9999,^([A-Z]{2}\d{4})$,0,,
BO,,-,,0,,
BQ,Postcode,9999 AA,^(0000 BQ)$^(\d{6})$,1,,
BR,CEP,99999-999,^[0-9]{5}-[0-9]{3}$,0,,
BS,,-,,0,,
BT,Post code,99999,^(\d{5})$,0,,
BV,,-,,0,,
BW,,-,,0,,
BY,Индекс,999999,^(\d{6})$,0,,
BZ,,-,,0,,
CA,Post code,A9A 9A9,^(?!.*[DFIOQU])[A-VXY][0-9][A-Z] +?[0-9][A-Z][0-9]$,0,,
CC,Post code,9999 A9,^(6799 W3)$,1,,
CD,,-,,0,,
CF,,-,,0,,
CG,,-,,0,,
CH,PLZ / Code postal,9999,^(\d{4})$,0,,
CI,,-,,0,,
CK,,-,\A(\d{7,7})\Z,0,
CL,Código postal,9999999,^(\d{7})$,0,,
CM,,-,,0,,
CN,郵政編碼,999999,^(\d{6}),0,,
CO,Código postal,999999,^(\d{6})$,0,,
CR,Código postal,99999,^(\d{5})$,0,,
CU,Código postal,99999,^(?:CP)*(\d{5})$,0,,
CV,CIP,9999,^(\d{4})$,0,,
CW,Postcode (NL),9999 AA,^(0000 CW)$,1,,
CX,Postcode,9999,^(6978)$,1,,
CY,Postcode,9999,^(\d{4})$,0,,
CZ,PSČ,999 99,^[0-9]{3} [0-9]{2}$,0,,
DE,PLZ,99999,^(\d{5})$,0,,
DJ,,-,,0,,
DK,Postnumre,9999,^(\d{4})$,0,,
DM,,-,,0,,
DO,Código postal,99999,^(\d{5})$,0,,
DZ,Code postal,99999,^(\d{5})$,0,,
EC,Código postal,999999,^(\d{6})$,0,,
EE,Postiindeks,99999,^(\d{5})$,0,,
EG,الرمز البريدي,99999,^(\d{5})$,0,,
EH,Code postal (MA),99999,^(\d{5})$,0,,
ER,,-,,0,,
ES,Código postal,99999,^(\d{5})$,0,,
